OrderID,CustomerID,Product,Category,Quantity,UnitPrice,Sales,Profit,OrderDate
1,129,Mamaearth Face Wash,Skincare,2,521,1042,343.92,28-11-2019
2,238,Maybelline Mascara,Makeup,2,1113,2226,755.08,03-07-2021
3,48,Maybelline Mascara,Makeup,5,476,2380,329.14,17-01-2019
4,200,Plum Serum,Skincare,5,557,2785,314.86,15-07-2021
5,298,LOreal Shampoo,Haircare,2,1038,2076,693.87,05-11-2019
6,2,Plum Serum,Skincare,1,210,210,46.14,11-03-2022
7,68,Mamaearth Face Wash,Skincare,5,342,1710,414.53,11-10-2018
8,20,Plum Serum,Skincare,3,854,2562,637.23,26-01-2020
9,72,Minimalist Sunscreen,Skincare,4,674,2696,758.78,19-09-2022
10,120,Plum Serum,Skincare,1,918,918,162.95,13-09-2020
11,252,LOreal Shampoo,Haircare,4,669,2676,701.39,04-03-2022
12,53,Biotique Cream,Skincare,5,1492,7460,1303.26,07-08-2017
13,66,Mamaearth Face Wash,Skincare,5,744,3720,615.03,30-12-2020
14,263,LOreal Shampoo,Haircare,5,1001,5005,837.77,17-03-2017
15,162,Maybelline Mascara,Makeup,3,1421,4263,1167.2,31-10-2020
16,38,Biotique Cream,Skincare,5,726,3630,904.16,17-04-2021
17,287,Mamaearth Face Wash,Skincare,1,1417,1417,431.93,16-11-2017
18,59,Maybelline Mascara,Makeup,3,890,2670,596.85,02-08-2020
19,110,Lakme Lipstick,Makeup,4,644,2576,776.1,15-06-2022
20,18,Plum Serum,Skincare,3,1449,4347,1302.5,12-04-2020
21,202,Mamaearth Face Wash,Skincare,5,1048,5240,1278.57,12-12-2022
22,250,Mamaearth Face Wash,Skincare,2,1417,2834,680.51,14-08-2019
23,253,Himalaya Face Pack,Skincare,1,862,862,259.98,13-11-2018
24,280,Himalaya Face Pack,Skincare,4,1428,5712,1708.56,04-11-2020
25,250,Plum Serum,Skincare,3,206,618,211.06,22-09-2019
26,278,Lakme Lipstick,Makeup,2,949,1898,427.08,24-04-2018
